question,answerRegex,expectedDisplay
"Replace multiple spaces with single space using awk.","^awk\s+'\\{gsub\(/\[ \]+/,\\" \\"\);print\\}'\s+file\.txt$","awk '{gsub(/[ ]+/,\" \");print}' file.txt"
"List environment variables containing 'PATH' (printenv | grep PATH).","^printenv\s*\|\s*grep\s+PATH$","printenv | grep PATH"
"Export a variable MYNAME='William'.","^export\s+MYNAME=William$","export MYNAME=William"
"Display value of variable MYNAME (echo).","^echo\s+\$MYNAME$","echo $MYNAME"
"Create a simple for-loop printing numbers 1 to 5.","^for\s+i\s+in\s+\$(seq\s+1\s+5);\s+do\s+echo\s+\$i;\s+done$","for i in $(seq 1 5); do echo $i; done"
"Use while-loop to print numbers 1 to 3.","^i=1;\s+while\s+\[\\s+\$i\s+-le\s+3\\s+\];\s+do\s+echo\s+\$i;\s+i=\$\(expr\s+\$i\s+\+1\);\s+done$","i=1; while [ $i -le 3 ]; do echo $i; i=$(expr $i + 1); done"
"Conditional: print 'Yes' if file exists (if [ -f file ]; then echo Yes; fi).","^if\s+\[\\s+-f\\s+file\\s+\];\s+then\s+echo\s+Yes;\s+fi$","if [ -f file ]; then echo Yes; fi"
"Conditional: check if directory 'backup' exists (if [ -d backup ]; then echo Found; fi).","^if\s+\[\\s+-d\\s+backup\\s+\];\s+then\s+echo\s+Found;\s+fi$","if [ -d backup ]; then echo Found; fi"
"Run a command and redirect both stdout and stderr to 'output.log' (>&1 2>&1).","^command\s+>\s+output\.log\s+2>&1$","command > output.log 2>&1"
"Append both stdout and stderr to 'output.log' (>> 2>&1).","^command\s+>>\s+output\.log\s+2>&1$","command >> output.log 2>&1"
"Run a command in background and disown it.","^command\s+&\s+disown$","command & disown"
"Chain two commands: list files, then print 'Done'.","^ls\s+-lah\s*;\s*echo\s+Done$","ls -lah; echo Done"
"Execute multiple commands only if previous succeeds (&&).","^mkdir\s+backup\s+&&\s+cp\s+-r\s+data/\s+backup/$","mkdir backup && cp -r data/ backup/"
"Execute fallback command if first fails (||).","^grep\s+pattern\s+file\.txt\s+\|\|\s+echo\s+'Not\s+found'$","grep pattern file.txt || echo 'Not found'"
